latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,host_listing_count
40.81453854,-73.94839202,1,0,0,3,1,1,2,4,100,2,25,2,21,29,59,89,364,31,88,9,8,10,10,8,9,1
40.6768044,-73.89067134,1,0,1,4,2,1,1,4,45,1,18,5,150,0,3,33,308,28,99,9,10,10,10,8,9,3
40.72371772,-74.00276736,1,2,0,2,1.5,1,1,4,199,5,0,20,1125,0,0,2,277,5,100,10,10,10,10,10,9,1
40.68468155,-73.99145245,1,0,0,3,1,0,1,4,150,2,25,3,30,30,57,87,355,35,91,10,9,9,9,10,9,1
40.73352624,-74.0047484,1,0,0,2,1,1,2,4,160,2,60,1,1125,21,44,68,187,3,93,9,10,9,9,10,10,1
40.66413014,-73.97803073,1,0,1,2,1,1,1,4,85,1,10,4,14,23,49,79,354,11,96,10,10,10,10,10,9,1
40.69277714,-73.93697204,1,0,1,1,1,1,1,4,70,0,0,5,60,14,14,14,14,48,92,9,10,10,10,8,9,1
40.71605239,-74.00523428,1,0,0,2,1,1,1,4,170,2,40,1,30,16,32,32,176,29,96,10,9,10,10,10,9,1
40.76526769,-73.98866384,1,0,1,1,1,1,1,4,108,1,0,2,30,30,60,90,365,2,70,7,6,9,9,10,8,2
40.73512869,-74.00415648,1,0,0,3,1,1,1,4,295,2,25,3,31,30,58,58,239,24,93,9,9,9,9,10,9,1
40.84184975,-73.93737345,1,0,0,4,1,1,1,4,125,1,0,5,28,30,60,84,359,11,98,10,9,10,10,9,9,1
40.75532218,-73.91603246,1,0,0,4,1,2,2,4,99,2,15,2,60,18,45,64,317,100,93,9,9,10,10,10,10,1
40.77924244,-73.9555954,1,0,0,8,2,3,4,4,550,6,0,3,1125,29,59,89,357,6,88,9,9,9,10,10,9,1
40.74687821,-74.00168934,1,0,2,2,2,1,1,4,98,1,50,4,365,30,60,90,365,27,95,9,10,9,10,10,9,2
40.73435221,-74.00798589,1,0,0,2,1,1,1,4,189,1,0,1,10,4,6,6,252,3,100,10,10,10,10,10,10,1
40.75831835,-73.9900318,1,0,1,2,1,1,1,4,120,1,0,4,1125,30,58,58,164,1,80,8,8,10,10,8,8,2
40.7320653,-74.00219514,1,0,0,2,1,2,1,4,250,1,0,3,30,0,0,0,168,3,99,10,10,10,9,10,10,1
40.7256377,-73.98241149,1,0,1,1,1,1,1,4,65,1,10,3,30,30,60,90,365,38,97,10,9,10,10,10,10,1
40.71983034,-73.99553426,1,0,1,2,1,1,1,4,95,2,15,1,365,0,0,0,181,77,94,9,9,10,10,9,9,1
40.68229049,-73.94286642,1,0,1,2,1,1,1,4,120,4,0,1,7,28,58,88,363,3,84,9,7,9,10,7,9,1
40.72207128,-73.98396256,1,0,0,4,1,2,2,4,270,4,50,3,60,21,39,55,330,72,91,9,9,10,9,9,9,2
40.74748333,-74.00570485,1,0,0,2,1,1,2,4,219,2,0,4,1125,30,60,90,365,10,86,10,9,9,8,9,8,1
40.61541865,-73.95365349,1,0,2,1,1,1,1,4,33,1,0,1,1125,27,57,87,362,1,80,8,10,6,10,10,10,23
40.72834109,-73.9775578,1,0,1,2,1,1,1,4,97,1,35,1,1125,17,47,73,327,22,91,9,10,10,10,9,9,1
40.72855813,-73.98720616,1,0,0,8,1,2,3,4,349,6,25,2,30,18,36,63,330,11,89,9,8,9,10,10,8,1
40.72638489,-73.98225494,1,0,0,2,1,0,1,4,175,1,0,3,1125,27,57,87,362,4,90,10,10,10,10,10,9,1
40.73306102,-73.95416051,1,0,1,2,1,1,1,4,83,2,75,1,4,16,38,68,343,26,92,9,9,10,10,9,9,1
40.69455942,-73.98456618,1,0,0,2,1,1,1,4,200,2,50,3,14,27,57,87,362,4,100,10,10,9,9,9,9,1
40.72817034,-74.00040534,1,0,0,2,1,1,2,4,220,1,0,1,1125,1,9,9,282,6,88,10,9,9,9,10,9,1
40.7247796,-74.00070211,0,0,0,2,1,1,1,4,275,2,100,1,365,24,50,80,355,42,95,10,10,10,10,10,9,1
40.75061878,-73.89398915,1,1,1,6,1,1,2,4,79,2,30,3,1125,30,60,90,365,4,100,10,8,10,10,9,10,5
40.75980706,-73.99287698,1,0,0,4,1,3,3,4,250,4,0,1,1125,28,58,83,358,58,85,9,8,10,10,10,9,1
40.69753844,-73.93041369,1,0,1,2,1,1,1,4,70,1,10,2,60,30,60,90,365,6,92,9,8,10,10,9,9,2
40.75374398,-73.97506188,1,0,0,3,1,0,1,4,159,2,25,3,1125,8,38,68,334,26,98,10,10,10,10,10,10,1
40.80616844,-73.93867686,1,1,1,2,3,1,1,4,45,1,10,1,1125,24,54,84,359,8,80,9,6,10,10,8,9,8
40.74233579,-73.98028218,1,0,0,2,1,1,1,4,199,2,80,1,21,30,57,85,267,60,95,9,10,10,10,9,9,1
40.70270853,-73.91565615,1,0,0,6,2,3,3,4,220,4,15,1,1125,20,45,72,323,42,97,10,10,10,10,9,10,2
40.76249468,-73.92729422,1,0,0,4,1,1,1,4,149,1,0,1,1125,0,0,0,92,19,97,10,10,10,10,10,10,1
40.74332054,-73.98940689,1,0,0,4,2,2,2,4,850,1,0,3,1125,2,2,2,92,4,100,10,10,10,10,10,10,1
40.6783836,-73.95549193,1,0,0,6,1,2,2,4,197,4,45,4,1125,2,32,62,337,9,84,8,7,10,10,8,8,2
40.72424353,-73.98980615,1,0,0,2,1,1,1,4,159,1,0,5,1125,22,44,60,281,107,92,9,8,10,10,10,9,1
40.72715359,-73.990074,1,0,0,4,1,2,2,4,169,4,0,1,1125,28,47,77,352,15,85,9,9,9,9,9,9,4
40.71365056,-73.96690681,1,0,0,4,1,1,2,4,225,2,25,6,1125,0,30,60,335,5,100,10,10,10,10,10,10,1
40.68555139,-73.90155867,1,0,1,1,1,1,1,4,55,1,0,2,60,0,0,0,90,11,84,9,8,8,9,7,8,1
